,GEO.display-label,RACE_GROUP.display-label,All firms,PCT_Firms with less than 2 years in business,PCT_Firms with 2 to 3 years in business,PCT_Firms with 4 to 5 years in business,PCT_Firms with 6 to 10 years in business,PCT_Firms with 11 to 15 years in business,PCT_Firms with 16 or more years in business
456,Pennsylvania,All firms,212828,100.0,100.0,100.0,100.0,100.0,100.0
457,Pennsylvania,"All firms classifiable by gender, ethnicity, race, and veteran status",197466,97.6625612502,97.4139414802,96.7299037202,95.9614490839,92.4662055506,62.5911141965
458,Pennsylvania,American Indian and Alaska Native,422,0.139054429877,0.0989672977625,0.484247706945,0.190797681074,0.205684546872,0.0
459,Pennsylvania,Asian,12548,8.54853661767,10.9079173838,11.9295846864,7.9499033781,3.08335485846,1.33634154807
460,Pennsylvania,Black or African American,2632,3.58230697921,1.65662650602,2.23893351564,1.27687678873,0.717504233275,0.355779243318
461,Pennsylvania,Equally minority/nonminority,976,0.357568533969,0.154905335628,0.36461003817,0.817005454857,0.44485262463,0.208261020479
462,Pennsylvania,Minority,18421,15.4416633558,14.6428571429,16.133994189,11.5775054426,4.68291096251,1.95244706699
463,Pennsylvania,Native Hawaiian and Other Pacific Islander,37,0.0,0.00430292598967,0.0113940636928,0.00733837234901,0.029656841642,0.0
464,Pennsylvania,Nonminority,178069,81.8633293603,82.6161790017,80.2369965248,83.5669381864,87.3384419635,60.4390836515
465,Pennsylvania,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",15363,2.33743874983,2.58605851979,3.27009627984,4.03610479196,7.53379444939,37.4088858035
466,Pennsylvania,Some other race,953,0.90054297444,0.79604130809,0.723523044494,0.733837234901,0.193247806829,0.0173550850399
467,Pennsylvania,White,180823,84.4722553304,83.9457831325,81.4960405629,85.5800983342,88.2530206928,60.8729607775
