,GEO.display-label,RACE_GROUP.display-label,All firms,PCT_Firms with less than 2 years in business,PCT_Firms with 2 to 3 years in business,PCT_Firms with 4 to 5 years in business,PCT_Firms with 6 to 10 years in business,PCT_Firms with 11 to 15 years in business,PCT_Firms with 16 or more years in business
480,South Carolina,All firms,72059,100.0,100.0,100.0,100.0,100.0,100.0
481,South Carolina,"All firms classifiable by gender, ethnicity, race, and veteran status",66852,97.9531140658,96.1046066309,96.5201180674,96.5063460254,94.5466469913,56.1380350745
482,South Carolina,American Indian and Alaska Native,377,0.0,0.404858299595,0.574801926363,0.948563794255,0.47220855878,0.339430511031
483,South Carolina,Asian,3871,11.6515045486,9.69471495787,6.99083423955,4.916499666,3.46942121659,1.41429379596
484,South Carolina,Black or African American,2126,5.58082575227,3.20604004815,3.68183936616,4.02805611222,2.07902934907,0.735432773902
485,South Carolina,Equally minority/nonminority,388,0.839748075577,1.82733340628,0.0,0.794923179693,0.17379898344,0.0
486,South Carolina,Minority,8379,20.3463960812,16.095852938,18.657759826,12.7321309285,7.97507788162,3.88459362625
487,South Carolina,Native Hawaiian and Other Pacific Islander,2,0.0,0.0,0.0,0.00668002672011,0.00327922610264,0.0
488,South Carolina,Nonminority,58085,76.766969909,78.1814202867,77.8468230542,82.9792919172,86.3977701263,52.2534414482
489,South Carolina,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",5207,2.02939118265,3.89539336908,3.47988193258,3.49365397462,5.45335300869,43.8619649255
490,South Carolina,Some other race,747,1.73198040588,1.38964875807,1.73994096629,0.941883767535,0.823085751763,0.320573260419
491,South Carolina,White,60025,78.9013296011,81.8579713317,84.1230386826,86.4261857047,87.9980324643,53.6488779936
