,GEO.display-label,RACE_GROUP.display-label,All firms,PCT_Firms with less than 2 years in business,PCT_Firms with 2 to 3 years in business,PCT_Firms with 4 to 5 years in business,PCT_Firms with 6 to 10 years in business,PCT_Firms with 11 to 15 years in business,PCT_Firms with 16 or more years in business
312,Montana,All firms,30458,100.0,100.0,100.0,100.0,100.0,100.0
313,Montana,"All firms classifiable by gender, ethnicity, race, and veteran status",27847,96.9899665552,94.848311391,97.7272727273,96.3785046729,91.3707095525,48.6206896552
314,Montana,American Indian and Alaska Native,314,3.17725752508,0.772753291357,0.783699059561,0.817757009346,1.00513736877,0.0
315,Montana,Asian,248,1.50501672241,0.887235260446,1.01880877743,0.715537383178,0.744546199092,0.344827586207
316,Montana,Black or African American,28,0.710702341137,0.286204922725,0.0,0.0146028037383,0.0,0.0
317,Montana,Equally minority/nonminority,353,1.00334448161,2.20377790498,0.19592476489,1.34345794393,1.1466011466,0.0574712643678
318,Montana,Minority,943,6.60535117057,4.2644533486,2.62539184953,2.8183411215,2.50167522895,2.24137931034
319,Montana,Native Hawaiian and Other Pacific Islander,18,0.0,0.0,0.0391849529781,0.248247663551,0.0,0.0
320,Montana,Nonminority,26551,89.381270903,88.3800801374,94.9059561129,92.2167056075,87.722433177,46.3793103448
321,Montana,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",2611,3.01003344482,5.15168860904,2.31191222571,3.6214953271,8.62184498548,51.3793103448
322,Montana,Some other race,103,0.334448160535,1.08757870635,0.274294670846,0.525700934579,0.0967910058819,0.0574712643678
323,Montana,White,27301,93.5200668896,91.5283342873,96.2382445141,94.4801401869,90.1049810141,48.1609195402
